Brand,Model,Kilometers,Year,Fuel Type,Transmission Type,Engine Capacity (CC),Body Type,Price_EGP
Mercedes-Benz,E180,151000,2018,Benzine,Automatic,,Sedan,"EGP 2,250,000"
Kia,Sportage,49000,2024,Hybrid,Automatic,1600,SUV,"EGP 1,750,000"
Skoda,Octavia,7000,2022,Benzine,Automatic,1400,Sedan,"EGP 1,400,000"
Volkswagen,Passat,156000,2014,Benzine,Automatic,1400,Sedan,"EGP 850,000"
BMW,316,1000,1992,Benzine,Manual,2000,Sedan,"EGP 320,000"
Jeep,Grand Cherokee,80000,2022,Benzine,Automatic,5700,4X4,"EGP 3,150,000"
Senova,A1,140000,2016,Benzine,Automatic,1500,Sedan,"EGP 300,000"
Daewoo,,280000,2000,Benzine,Automatic,,,"EGP 295,000"
Volkswagen,Jetta,198000,2008,Benzine,Automatic,1600,Sedan,"EGP 520,000"
BMW,Z4,20000,2019,Benzine,Automatic,2000,Sports / Coupe,"EGP 3,000,000"
Opel,Corsa,290000,2006,Benzine,Manual,1600,Sedan,"EGP 250,000"
Kia,Picanto,930000,2011,Benzine,Automatic,1100,Hatchback,"EGP 385,000"
Toyota,Cressida,480000,1982,Benzine,Automatic,,,"EGP 130,000"
Chevrolet,Lanos,193000,2014,Benzine,Manual,1500,Sedan,"EGP 320,000"
BMW,318,126000,2018,Benzine,Automatic,1500,Sedan,"EGP 1,200,000"
Changhe,Ideal,62000,2008,Benzine,Manual,1070,Hatchback,"EGP 95,000"
Volvo,s60,127000,2018,Benzine,Automatic,1500,Sedan,"EGP 1,050,000"
Skoda,Superb,60000,2022,Benzine,Automatic,,Sedan,"EGP 1,800,000"
Chery,Tiggo 7,210000,2022,Benzine,Automatic,1500,SUV,"EGP 700,000"
Mercedes-Benz,E53 AMG,3000,2023,Benzine,Automatic,,Sports / Coupe,"EGP 6,250,000"
Kia,Sorento Hybrid,61000,2022,Benzine,Automatic,1600,SUV,"EGP 2,150,000"
Daewoo,Lanos,260000,2015,Benzine,Manual,1300,Sedan,"EGP 280,000"
Kia,Carnival,15000,2024,Hybrid,Automatic,1600,Estate,"EGP 3,200,000"
Citroen,C-Elysée,33000,2022,Benzine,Automatic,1600,Sedan,"EGP 750,000"
Land Rover,Evoque,51000,2023,Benzine,Automatic,,SUV,"EGP 3,400,000"
Mercedes-Benz,GLC 300,22000,2023,Benzine,Automatic,2000,Sports / Coupe,"EGP 4,100,000"
Renault,Sandero Stepway,50000,2023,Benzine,Automatic,1600,Hatchback,"EGP 690,000"
Mercedes-Benz,CLA 200,200000,2014,Benzine,Automatic,,Sedan,"EGP 1,200,000"
Suzuki,Alto,117000,2016,Benzine,Manual,800,Hatchback,"EGP 300,000"
BMW,X1,111000,2017,Benzine,Automatic,,SUV,"EGP 1,300,000"
